Timestamp,RotationError
1732889065.3502822,0.08
Timestamp,RotationError
1732889065.3568318,0.08
Timestamp,RotationError
1732889065.3625681,0.08
Timestamp,RotationError
1732889065.3685503,0.08
Timestamp,RotationError
1732889065.3747518,0.08
Timestamp,RotationError
1732889065.3805344,0.08
Timestamp,RotationError
1732889065.3864672,0.08
Timestamp,RotationError
1732889065.3920836,0.08
Timestamp,RotationError
1732889065.4007223,0.07
Timestamp,RotationError
1732889065.4122813,0.01
Timestamp,RotationError
1732889065.4189363,0.01
Timestamp,RotationError
1732889065.425527,-0.14
Timestamp,RotationError
1732889065.4356737,-0.22
Timestamp,RotationError
1732889065.4634075,-0.23
Timestamp,RotationError
1732889065.4703438,-0.2
Timestamp,RotationError
1732889065.4761076,-0.17
Timestamp,RotationError
1732889065.4818459,-0.17
Timestamp,RotationError
1732889065.4875603,-0.12
Timestamp,RotationError
1732889065.4933748,-0.12
Timestamp,RotationError
1732889065.4993682,-0.02
Timestamp,RotationError
1732889065.5054023,-0.02
Timestamp,RotationError
1732889065.5111299,0.09
Timestamp,RotationError
1732889065.5172107,0.09
Timestamp,RotationError
1732889065.5229585,0.18
Timestamp,RotationError
1732889065.5292568,0.18
Timestamp,RotationError
1732889065.5350986,0.18
Timestamp,RotationError
1732889065.5408285,0.18
Timestamp,RotationError
1732889065.5468218,0.15
Timestamp,RotationError
1732889065.552666,0.15
Timestamp,RotationError
1732889065.5584152,0.09
Timestamp,RotationError
1732889065.5639682,0.09
Timestamp,RotationError
1732889065.5703337,0.02
Timestamp,RotationError
1732889065.5763428,-0.05
Timestamp,RotationError
1732889065.5828638,-0.05
Timestamp,RotationError
1732889065.5890841,-0.1
Timestamp,RotationError
1732889065.5954287,-0.1
Timestamp,RotationError
1732889065.6042511,-0.12
Timestamp,RotationError
1732889065.6210258,-0.12
Timestamp,RotationError
1732889065.6324208,-0.05
Timestamp,RotationError
1732889065.6398766,0.01
Timestamp,RotationError
1732889065.6466627,0.07
Timestamp,RotationError
1732889065.6522834,0.07
Timestamp,RotationError
1732889065.6758797,0.14
Timestamp,RotationError
1732889065.6822286,0.2
Timestamp,RotationError
1732889065.6878066,0.2
Timestamp,RotationError
1732889065.6936023,0.16
Timestamp,RotationError
1732889065.6994057,0.16
Timestamp,RotationError
1732889065.7050238,0.1
Timestamp,RotationError
1732889065.7115934,0.1
Timestamp,RotationError
1732889065.7173314,0.04
Timestamp,RotationError
1732889065.7232754,-0.03
Timestamp,RotationError
1732889065.7290645,-0.03
Timestamp,RotationError
1732889065.734779,-0.1
Timestamp,RotationError
1732889065.7441673,-0.1
Timestamp,RotationError
1732889065.74993,-0.11
Timestamp,RotationError
1732889065.7557747,-0.07
Timestamp,RotationError
1732889065.7620566,-0.07
Timestamp,RotationError
1732889065.7688754,-0.02
Timestamp,RotationError
1732889065.7745833,-0.02
Timestamp,RotationError
1732889065.7811763,0.03
Timestamp,RotationError
1732889065.7870317,0.03
Timestamp,RotationError
1732889065.7928052,0.06
Timestamp,RotationError
1732889065.7991035,0.06
Timestamp,RotationError
1732889065.8052657,0.06
Timestamp,RotationError
1732889065.8117583,0.06
Timestamp,RotationError
1732889065.818634,0.03
Timestamp,RotationError
1732889065.8253965,-0.01
Timestamp,RotationError
1732889065.831721,-0.01
Timestamp,RotationError
1732889065.841613,-0.03
Timestamp,RotationError
1732889065.85161,-0.04
Timestamp,RotationError
1732889065.8574445,-0.08
